"star_programs","program","specialty"
"HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital_Emergency Medicine","HCA Healthcare/USF Morsani College of Medicine GME: Oak Hill Hospital","Emergency Medicine"
"HCA Healthcare: East Florida Division GME: Aventura Hospital and Medical Center_Emergency Medicine","HCA Healthcare: East Florida Division GME: Aventura Hospital and Medical Center","Emergency Medicine"
"HCA Healthcare: East Florida Division GME: Kendall Regional Medical Center_Emergency Medicine","HCA Healthcare: East Florida Division GME: Kendall Regional Medical Center","Emergency Medicine"
"Health Quest_Emergency Medicine","Health Quest","Emergency Medicine"
"Kaiser Permanente Northern California_Emergency Medicine","Kaiser Permanente Northern California","Emergency Medicine"
"Mercy Health-St Rita's Medical Center_Emergency Medicine","Mercy Health-St Rita's Medical Center","Emergency Medicine"
"Nazareth Hospital_Emergency Medicine","Nazareth Hospital","Emergency Medicine"
"Riverside Regional Medical Center_Emergency Medicine","Riverside Regional Medical Center","Emergency Medicine"
"Summa Health System_Emergency Medicine","Summa Health System","Emergency Medicine"
"University of Central Florida/HCA Healthcare GME (Ocala)_Emergency Medicine","University of Central Florida/HCA Healthcare GME (Ocala)","Emergency Medicine"
"University of Central Florida/HCA Healthcare GME (Greater Orlando)_Emergency Medicine","University of Central Florida/HCA Healthcare GME (Greater Orlando)","Emergency Medicine"
"Valley Health System_Emergency Medicine","Valley Health System","Emergency Medicine"
"HCA Healthcare: East Florida Division GME: St. Lucie Medical Center_Emergency Medicine","HCA Healthcare: East Florida Division GME: St. Lucie Medical Center","Emergency Medicine"
"Mountain Area Health Education Center (Asheville)_Family Medicine","Mountain Area Health Education Center (Asheville)","Family Medicine"
"Mountain Area Health Education Center (Boone)_Family Medicine","Mountain Area Health Education Center (Boone)","Family Medicine"
"Hackensack University Medical Center (Mountainside)_Family Medicine","Hackensack University Medical Center (Mountainside)","Family Medicine"
"HCA HealthONE_Family Medicine","HCA HealthONE","Family Medicine"
"University of Texas Southwestern Medical Center_Family Medicine","University of Texas Southwestern Medical Center","Family Medicine"
"Icahn School of Medicine at Mount Sinai (South Nassau)_Family Medicine","Icahn School of Medicine at Mount Sinai (South Nassau)","Family Medicine"
"Inspira Health Network_Family Medicine","Inspira Health Network","Family Medicine"
"NYU Grossman School of Medicine/Brooklyn Campus_Family Medicine","NYU Grossman School of Medicine/Brooklyn Campus","Family Medicine"
"University of Utah Health_Family Medicine","University of Utah Health","Family Medicine"
"Spokane Teaching Health Center/Sacred Heart Medical Center_Family Medicine","Spokane Teaching Health Center/Sacred Heart Medical Center","Family Medicine"
"Oklahoma State University Center for Health Sciences (Tahlequah)_Family Medicine","Oklahoma State University Center for Health Sciences (Tahlequah)","Family Medicine"
"Oklahoma State University Center for Health Sciences/Cherokee Nation_Family Medicine","Oklahoma State University Center for Health Sciences/Cherokee Nation","Family Medicine"
"Osteopathic Medical Education Consortium of Oklahoma (OMECO/Chickasaw Nation Medical Center)_Family Medicine","Osteopathic Medical Education Consortium of Oklahoma (OMECO/Chickasaw Nation Medical Center)","Family Medicine"
"University of Miami/Jackson Health System_Family Medicine","University of Miami/Jackson Health System","Family Medicine"
"MercyOne North Iowa Medical Center (Mason City)_Family Medicine","MercyOne North Iowa Medical Center (Mason City)","Family Medicine"
"St Anthony Hospital_Family Medicine","St Anthony Hospital","Family Medicine"
"Atrium Health Cabarrus_Family Medicine","Atrium Health Cabarrus","Family Medicine"
"HCA Healthcare LewisGale Hospital-Montgomery/VCOM_Family Medicine","HCA Healthcare LewisGale Hospital-Montgomery/VCOM","Family Medicine"
"HCA Healthcare LewisGale Medical Center_Family Medicine","HCA Healthcare LewisGale Medical Center","Family Medicine"
"Prisma Health-Midlands/University of South Carolina School of Medicine-Columbia (Columbia)_Family Medicine","Prisma Health-Midlands/University of South Carolina School of Medicine-Columbia (Columbia)","Family Medicine"
"Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) St Luke's Des Peres_Family Medicine","Kansas City University of Medicine & Biosciences-GME Consortium (KCU-GMEC) St Luke's Des Peres","Family Medicine"
"University of Louisville School of Medicine (Owensboro)_Family Medicine","University of Louisville School of Medicine (Owensboro)","Family Medicine"
"Spectrum Health Lakeland_Family Medicine","Spectrum Health Lakeland","Family Medicine"
"HCA Houston Healthcare (West)/University of Houston_Family Medicine","HCA Houston Healthcare (West)/University of Houston","Family Medicine"
"AdventHealth Orlando (East Orlando)_Family Medicine","AdventHealth Orlando (East Orlando)","Family Medicine"
"AdventHealth Orlando (Winter Park)_Family Medicine","AdventHealth Orlando (Winter Park)","Family Medicine"
"Ascension Genesys Hospital_Family Medicine","Ascension Genesys Hospital","Family Medicine"
"Florida State University College of Medicine_Family Medicine","Florida State University College of Medicine","Family Medicine"
"Manatee Memorial Hospital_Family Medicine","Manatee Memorial Hospital","Family Medicine"
"HCA Healthcare Sunrise Health Graduate Medical Education_Family Medicine","HCA Healthcare Sunrise Health Graduate Medical Education","Family Medicine"
